"Recipient","Total","From Individuals","From Organization","Recipient Type","View","Type","Chamber"
"McBath Lucy","$7962","$2962","$5000","Candidate (D-GA06)","Democrat","Cand","House"
"Pelosi Nancy","$5023","$23","$5000","Candidate (D-CA12)","Democrat","Cand","House"
"Clyburn James E","$5000","$0","$5000","Candidate (D-SC06)","Democrat","Cand","House"
"Clark Katherine","$5000","$0","$5000","Candidate (D-MA05)","Democrat","Cand","House"
"Jeffries Hakeem","$5000","$0","$5000","Candidate (D-NY08)","Democrat","Cand","House"
"Nadler Jerrold","$5000","$0","$5000","Candidate (D-NY10)","Democrat","Cand","House"
"Hoyer Steny H","$5000","$0","$5000","Candidate (D-MD05)","Democrat","Cand","House"
"Thompson Mike","$5000","$0","$5000","Candidate (D-CA05)","Democrat","Cand","House"
"Demings Val","$3510","$10","$3500","Candidate (D-FL10)","Democrat","Cand","House"
"Bass Karen","$3500","$0","$3500","Candidate (D-CA37)","Democrat","Cand","House"
"Murphy Stephanie","$3500","$0","$3500","Candidate (D-FL07)","Democrat","Cand","House"
"Cicilline David","$3500","$0","$3500","Candidate (D-RI01)","Democrat","Cand","House"
"Kelly Robin","$3500","$0","$3500","Candidate (D-IL02)","Democrat","Cand","House"
"Deutch Ted","$3500","$0","$3500","Candidate (D-FL22)","Democrat","Cand","House"
"Schneider Brad","$3500","$0","$3500","Candidate (D-IL10)","Democrat","Cand","House"
"Maloney Carolyn","$3500","$0","$3500","Candidate (D-NY12)","Democrat","Cand","House"
"Carbajal Salud","$3500","$0","$3500","Candidate (D-CA24)","Democrat","Cand","House"
"Underwood Lauren A","$2785","$1785","$1000","Candidate (D-IL14)","Democrat","Cand","House"
"Frankel Lois","$2602","$102","$2500","Candidate (D-FL21)","Democrat","Cand","House"
"Fitzpatrick Brian","$2530","$0","$2530","Candidate (R-PA01)","Republican","Cand","House"
"Schiff Adam","$2505","$5","$2500","Candidate (D-CA28)","Democrat","Cand","House"
"King Pete","$2500","$0","$2500","Candidate (R-NY02)","Republican","Cand","House"
"Dingell Debbie","$2500","$0","$2500","Candidate (D-MI12)","Democrat","Cand","House"
"Upton Fred","$2500","$0","$2500","Candidate (R-MI06)","Republican","Cand","House"
"Cummings Elijah E","$2500","$0","$2500","Candidate (D-MD07)","Democrat","Cand","House"
"Chu Judy","$2500","$0","$2500","Candidate (D-CA27)","Democrat","Cand","House"
"Jackson Lee Sheila","$2500","$0","$2500","Candidate (D-TX18)","Democrat","Cand","House"
"Lewis John","$2500","$0","$2500","Candidate (D-GA05)","Democrat","Cand","House"
"Castro Joaquin","$2500","$0","$2500","Candidate (D-TX20)","Democrat","Cand","House"
"Lawrence Brenda","$2500","$0","$2500","Candidate (D-MI14)","Democrat","Cand","House"
"Speier Jackie","$2500","$0","$2500","Candidate (D-CA14)","Democrat","Cand","House"
"Bustos Cheri","$2500","$0","$2500","Candidate (D-IL17)","Democrat","Cand","House"
"Beyer Don","$2500","$0","$2500","Candidate (D-VA08)","Democrat","Cand","House"
"Rose Max","$2070","$70","$2000","Candidate (D-NY11)","Democrat","Cand","House"
"Sherrill Mikie","$2020","$20","$2000","Candidate (D-NJ11)","Democrat","Cand","House"
